category,template_name,template_key,accuracy,qwk,mse,mae,samples_processed,samples_skipped,error
1_D_M,zero_shot,zero_shot,0.8319502074688797,0.5292228933246513,0.18049792531120332,0.17219917012448133,482,0,
1_D_M,few_shot,few_shot,0.8734439834024896,0.6188059208196606,0.13900414937759337,0.13070539419087138,482,0,
1_D_kA,zero_shot,zero_shot,0.6887966804979253,0.3786880549985676,0.35477178423236516,0.3257261410788382,482,0,
1_D_kA,few_shot,few_shot,0.6887966804979253,0.35238469395772765,0.35477178423236516,0.3257261410788382,482,0,
1_Dm_M,zero_shot,zero_shot,0.39316239316239315,0.27885772639410633,0.7222222222222222,0.6452991452991453,234,0,
1_Dm_M,few_shot,few_shot,0.4658119658119658,0.29162794627016975,0.9188034188034188,0.6623931623931624,234,0,
1_Dm_kA,zero_shot,zero_shot,0.5213675213675214,0.3739837398373984,0.6581196581196581,0.5384615384615384,234,0,
1_Dm_kA,few_shot,few_shot,0.5128205128205128,0.3993535302319685,0.6923076923076923,0.5555555555555556,234,0,
1_E_T_IV,zero_shot,zero_shot,0.415929203539823,0.3641683547152824,0.6637168141592921,0.6106194690265486,452,0,
1_E_T_IV,few_shot,few_shot,0.5464601769911505,0.5095370261013346,0.6504424778761062,0.5176991150442478,452,0,
3_D_F,zero_shot,zero_shot,0.889763779527559,0.362468880514781,0.16141732283464566,0.1272965879265092,762,0,
3_D_F,few_shot,few_shot,0.8792650918635171,0.3180872290683634,0.2742782152230971,0.17191601049868765,762,0,
3_D_Qual,zero_shot,zero_shot,0.8517060367454068,0.10641894105161087,0.23490813648293962,0.17716535433070865,762,0,
3_D_Qual,few_shot,few_shot,0.8727034120734908,0.12395834858891941,0.20603674540682415,0.15354330708661418,762,0,
3_D_Quan,zero_shot,zero_shot,0.8792650918635171,0.4949530070082033,0.16010498687664043,0.13385826771653545,762,0,
3_D_Quan,few_shot,few_shot,0.8976377952755905,0.5876356370431356,0.15354330708661418,0.1194225721784777,762,0,
3_Dm_F,zero_shot,zero_shot,0.49327354260089684,0.24148218527315923,0.8026905829596412,0.6053811659192825,223,0,
