category,template_name,template_key,output_format,accuracy,qwk,mse,mae,samples_processed,samples_skipped,error
1_D_M,zero_shot,zero_shot,json,0.8900414937759336,0.6222379531779341,0.12863070539419086,0.11618257261410789,482,0,
1_D_M,few_shot,few_shot,json,0.8651452282157677,0.6136337977284532,0.14730290456431536,0.13900414937759337,482,0,
1_D_kA,zero_shot,zero_shot,json,0.6825726141078838,0.33580995052137896,0.35477178423236516,0.32987551867219916,482,0,
1_D_kA,few_shot,few_shot,json,0.6970954356846473,0.33731249897090543,0.34647302904564314,0.31742738589211617,482,0,
1_Dm_M,zero_shot,zero_shot,json,0.5341880341880342,0.37134892740273895,0.5683760683760684,0.5,234,0,
1_Dm_M,few_shot,few_shot,json,0.5982905982905983,0.41049084053521967,0.6452991452991453,0.4829059829059829,234,0,
1_Dm_kA,zero_shot,zero_shot,json,0.5384615384615384,0.41190268748743375,0.6410256410256411,0.5213675213675214,234,0,
1_Dm_kA,few_shot,few_shot,json,0.5427350427350427,0.4369367914473047,0.6367521367521367,0.5170940170940171,234,0,
1_E_T_IV,zero_shot,zero_shot,json,0.5331858407079646,0.46421120509805414,0.5530973451327433,0.49557522123893805,452,0,
1_E_T_IV,few_shot,few_shot,json,0.581858407079646,0.5151849468297017,0.6194690265486725,0.4823008849557522,452,0,
3_D_F,zero_shot,zero_shot,json,0.916010498687664,0.423744194736561,0.1115485564304462,0.09317585301837271,762,0,
3_D_F,few_shot,few_shot,json,0.905511811023622,0.431141130465695,0.1377952755905512,0.1089238845144357,762,0,
3_D_Qual,zero_shot,zero_shot,json,0.916010498687664,0.2121838714808334,0.1194225721784777,0.09580052493438321,762,0,
3_D_Qual,few_shot,few_shot,json,0.8989501312335958,0.2152980281000837,0.1325459317585302,0.1115485564304462,762,0,
3_D_Quan,zero_shot,zero_shot,json,0.9212598425196851,0.5559009227780476,0.11023622047244094,0.08923884514435695,762,0,
3_D_Quan,few_shot,few_shot,json,0.9068241469816273,0.5854336435997209,0.12073490813648294,0.10236220472440945,762,0,
3_Dm_F,zero_shot,zero_shot,json,0.6502242152466368,0.2790186590030218,0.6860986547085202,0.4618834080717489,223,0,
3_Dm_F,few_shot,few_shot,json,0.57847533632287,0.22227178717709561,0.7713004484304933,0.5381165919282511,223,0,
3_Dm_Kons,zero_shot,zero_shot,json,0.6059113300492611,0.49955370425468615,0.5714285714285714,0.45320197044334976,203,0,
3_Dm_Kons,few_shot,few_shot,json,0.5862068965517241,0.43870967741935474,0.7536945812807881,0.5270935960591133,203,0,
3_Dm_Qual,zero_shot,zero_shot,json,0.3452914798206278,0.0359711546683642,2.0403587443946187,1.116591928251121,223,0,
3_Dm_Qual,few_shot,few_shot,json,0.4484304932735426,0.042607168412151064,1.7757847533632287,0.9596412556053812,223,0,
3_Dm_Quan,zero_shot,zero_shot,json,0.7633928571428571,0.37412858249419056,0.45089285714285715,0.3080357142857143,224,0,
3_Dm_Quan,few_shot,few_shot,json,0.7544642857142857,0.3949808592088474,0.5669642857142857,0.35267857142857145,224,0,
3_E_T_IV,zero_shot,zero_shot,json,0.7702127659574468,0.5402736078468666,0.2723404255319149,0.24397163120567375,705,0,
3_E_T_IV,few_shot,few_shot,json,0.6907801418439716,0.4498535620181995,0.33900709219858155,0.3191489361702128,705,0,
4_D_Ep,zero_shot,zero_shot,json,0.7864693446088795,0.61603055466837,0.25792811839323465,0.22832980972515857,473,0,
4_D_Ep,few_shot,few_shot,json,0.773784355179704,0.6579067957091356,0.2769556025369979,0.24312896405919662,473,0,
4_Dm_Ep,zero_shot,zero_shot,json,0.6467889908256881,0.5597699635629307,0.42201834862385323,0.3761467889908257,218,0,
4_Dm_Ep,few_shot,few_shot,json,0.6513761467889908,0.598567323647254,0.41743119266055045,0.37155963302752293,218,0,
4_E_T_IV,zero_shot,zero_shot,json,0.817351598173516,0.47602758930073463,0.2922374429223744,0.2191780821917808,438,0,
4_E_T_IV,few_shot,few_shot,json,0.7922374429223744,0.47000382116927786,0.3036529680365297,0.23972602739726026,438,0,
5_D_Ma,zero_shot,zero_shot,json,0.9238410596026491,0.1508065709634453,0.12582781456953643,0.09271523178807947,302,0,
5_D_Ma,few_shot,few_shot,json,0.8973509933774835,0.2615031440263498,0.16225165562913907,0.12251655629139073,302,0,
5_D_Mk,zero_shot,zero_shot,json,0.7516556291390728,0.5499770747363595,0.2582781456953642,0.25165562913907286,302,0,
5_D_Mk,few_shot,few_shot,json,0.7317880794701986,0.5516002492942772,0.2682119205298013,0.2682119205298013,302,0,
5_Dm_Ma,zero_shot,zero_shot,json,0.6801801801801802,0.21048713919444217,0.38738738738738737,0.34234234234234234,222,0,
5_Dm_Ma,few_shot,few_shot,json,0.6531531531531531,0.2197265088692405,0.5765765765765766,0.42342342342342343,222,0,
5_Dm_Mk,zero_shot,zero_shot,json,0.7522522522522522,0.6946286023542145,0.2747747747747748,0.25675675675675674,222,0,
5_Dm_Mk,few_shot,few_shot,json,0.7387387387387387,0.6979720249989372,0.2882882882882883,0.2702702702702703,222,0,
5_E_T_IV,zero_shot,zero_shot,json,0.6702508960573477,0.4452354797892014,0.5125448028673835,0.3906810035842294,279,0,
5_E_T_IV,few_shot,few_shot,json,0.7311827956989247,0.497110322728313,0.45161290322580644,0.32974910394265233,279,0,
6_D_Rb,zero_shot,zero_shot,json,0.7470588235294118,0.677901874750698,0.27941176470588236,0.26176470588235295,340,0,
6_D_Rb,few_shot,few_shot,json,0.7970588235294118,0.7526939655172413,0.23823529411764705,0.21470588235294116,340,0,
6_D_kA,zero_shot,zero_shot,json,0.8117647058823529,0.2695411747123,0.3382352941176471,0.23823529411764705,340,0,
6_D_kA,few_shot,few_shot,json,0.7705882352941177,0.3459773218142548,0.5029411764705882,0.3205882352941177,340,0,
6_Dm_Rb,zero_shot,zero_shot,json,0.6565217391304348,0.5856154511386567,0.43478260869565216,0.3739130434782609,230,0,
6_Dm_Rb,few_shot,few_shot,json,0.7,0.6538182069824574,0.3782608695652174,0.32608695652173914,230,0,
6_Dm_kA,zero_shot,zero_shot,json,0.6,0.3838193791157103,0.5695652173913044,0.45652173913043476,230,0,
6_Dm_kA,few_shot,few_shot,json,0.6521739130434783,0.3702497285559174,0.5043478260869565,0.4,230,0,
6_E_T_IV,zero_shot,zero_shot,json,0.6520376175548589,0.37020678987218103,0.6081504702194357,0.43260188087774293,319,0,
6_E_T_IV,few_shot,few_shot,json,0.658307210031348,0.36955895643192693,0.6238244514106583,0.43573667711598746,319,0,
