category,template_name,template_key,output_format,accuracy,qwk,mse,mae,samples_processed,samples_skipped,error
1_D_M,zero_shot,zero_shot,text,0.8941908713692946,0.6555848063181647,0.11825726141078838,0.10995850622406639,482,0,
1_D_M,few_shot,few_shot,text,0.8651452282157677,0.5675977111822326,0.15352697095435686,0.14107883817427386,482,0,
1_D_kA,zero_shot,zero_shot,text,0.6846473029045643,0.3265611387806763,0.35269709543568467,0.3278008298755187,482,0,
1_D_kA,few_shot,few_shot,text,0.6825726141078838,0.3417298937784521,0.35477178423236516,0.32987551867219916,482,0,
1_Dm_M,zero_shot,zero_shot,text,0.5470085470085471,0.3891830985915492,0.594017094017094,0.5,234,0,
1_Dm_M,few_shot,few_shot,text,0.5726495726495726,0.3521634989268049,0.7606837606837606,0.5384615384615384,234,0,
1_Dm_kA,zero_shot,zero_shot,text,0.5042735042735043,0.395146575842355,0.7264957264957265,0.5726495726495726,234,0,
1_Dm_kA,few_shot,few_shot,text,0.5213675213675214,0.4339132942420455,0.6452991452991453,0.5341880341880342,234,0,
1_E_T_IV,zero_shot,zero_shot,text,0.6415929203539823,0.5481936313008711,0.49557522123893805,0.4026548672566372,452,0,
1_E_T_IV,few_shot,few_shot,text,0.6017699115044248,0.5317872603586891,0.5929203539823009,0.46017699115044247,452,0,
3_D_F,zero_shot,zero_shot,text,0.9304461942257218,0.4355660080368883,0.10498687664041995,0.08136482939632546,762,0,
3_D_F,few_shot,few_shot,text,0.8976377952755905,0.4477527207720833,0.15748031496062992,0.12073490813648294,762,0,
3_D_Qual,zero_shot,zero_shot,text,0.9028871391076115,0.17825140683516016,0.14435695538057744,0.11286089238845144,762,0,
3_D_Qual,few_shot,few_shot,text,0.8779527559055118,0.1709947495388109,0.18110236220472442,0.14173228346456693,762,0,
3_D_Quan,zero_shot,zero_shot,text,0.916010498687664,0.551650820395555,0.11548556430446194,0.09448818897637795,762,0,
3_D_Quan,few_shot,few_shot,text,0.8910761154855643,0.5839956325000788,0.13648293963254593,0.11811023622047244,762,0,
3_Dm_F,zero_shot,zero_shot,text,0.600896860986547,0.2702197288452548,0.8161434977578476,0.5381165919282511,223,0,
3_Dm_F,few_shot,few_shot,text,0.5560538116591929,0.22757873421319086,0.874439461883408,0.5874439461883408,223,0,
3_Dm_Kons,zero_shot,zero_shot,text,0.6798029556650246,0.49459134615384615,0.5714285714285714,0.4039408866995074,203,0,
3_Dm_Kons,few_shot,few_shot,text,0.6354679802955665,0.467003823855927,0.7339901477832512,0.4876847290640394,203,0,
3_Dm_Qual,zero_shot,zero_shot,text,0.40358744394618834,0.054599519925480955,1.5919282511210762,0.9282511210762332,223,0,
3_Dm_Qual,few_shot,few_shot,text,0.49327354260089684,0.06334497151707674,1.4349775784753362,0.8161434977578476,223,0,
3_Dm_Quan,zero_shot,zero_shot,text,0.8169642857142857,0.45259042033235586,0.35714285714285715,0.24107142857142858,224,0,
3_Dm_Quan,few_shot,few_shot,text,0.8214285714285714,0.4952815183967766,0.3794642857142857,0.24553571428571427,224,0,
3_E_T_IV,zero_shot,zero_shot,text,0.7531914893617021,0.5188777605762851,0.30638297872340425,0.26666666666666666,705,0,
3_E_T_IV,few_shot,few_shot,text,0.7163120567375887,0.4720231090189366,0.3177304964539007,0.2950354609929078,705,0,
4_D_Ep,zero_shot,zero_shot,text,0.7758985200845666,0.6255742200891325,0.26849894291754756,0.23890063424947147,473,0,
4_D_Ep,few_shot,few_shot,text,0.7399577167019028,0.6013004997290625,0.35517970401691334,0.2917547568710359,473,0,
4_Dm_Ep,zero_shot,zero_shot,text,0.6146788990825688,0.5577495266432242,0.481651376146789,0.41743119266055045,218,0,
4_Dm_Ep,few_shot,few_shot,text,0.6651376146788991,0.5941769983990469,0.45871559633027525,0.3761467889908257,218,0,
4_E_T_IV,zero_shot,zero_shot,text,0.8059360730593608,0.4424783520679826,0.3242009132420091,0.2374429223744292,438,0,
4_E_T_IV,few_shot,few_shot,text,0.773972602739726,0.4511564767921473,0.3287671232876712,0.2602739726027397,438,0,
5_D_Ma,zero_shot,zero_shot,text,0.9238410596026491,0.23503532862285037,0.12582781456953643,0.09271523178807947,302,0,
5_D_Ma,few_shot,few_shot,text,0.847682119205298,0.22246359320942943,0.2119205298013245,0.17218543046357615,302,0,
5_D_Mk,zero_shot,zero_shot,text,0.7417218543046358,0.5406542231569458,0.2682119205298013,0.26158940397350994,302,0,
5_D_Mk,few_shot,few_shot,text,0.7384105960264901,0.560577596051129,0.26158940397350994,0.26158940397350994,302,0,
5_Dm_Ma,zero_shot,zero_shot,text,0.6711711711711712,0.23244306286874317,0.49099099099099097,0.38288288288288286,222,0,
5_Dm_Ma,few_shot,few_shot,text,0.6081081081081081,0.21928468099965093,0.6351351351351351,0.47297297297297297,222,0,
5_Dm_Mk,zero_shot,zero_shot,text,0.6981981981981982,0.6262626262626263,0.38288288288288286,0.32882882882882886,222,0,
5_Dm_Mk,few_shot,few_shot,text,0.7387387387387387,0.686276093188517,0.3153153153153153,0.27927927927927926,222,0,
5_E_T_IV,zero_shot,zero_shot,text,0.6308243727598566,0.41001514032958364,0.6057347670250897,0.44802867383512546,279,0,
5_E_T_IV,few_shot,few_shot,text,0.7240143369175627,0.4592609593757172,0.5448028673835126,0.3655913978494624,279,0,
6_D_Rb,zero_shot,zero_shot,text,0.7558823529411764,0.6590257879656161,0.28823529411764703,0.25882352941176473,340,0,
6_D_Rb,few_shot,few_shot,text,0.861764705882353,0.8538752913752914,0.17352941176470588,0.15,340,0,
6_D_kA,zero_shot,zero_shot,text,0.8264705882352941,0.1900353934113802,0.4117647058823529,0.2529411764705882,340,0,
6_D_kA,few_shot,few_shot,text,0.7676470588235295,0.3316072113540468,0.6029411764705882,0.3558823529411765,340,0,
6_Dm_Rb,zero_shot,zero_shot,text,0.6304347826086957,0.5682488602842586,0.48695652173913045,0.40869565217391307,230,0,
6_Dm_Rb,few_shot,few_shot,text,0.6608695652173913,0.6496544042978347,0.4043478260869565,0.36086956521739133,230,0,
6_Dm_kA,zero_shot,zero_shot,text,0.5869565217391305,0.3734542456718879,0.6608695652173913,0.4956521739130435,230,0,
6_Dm_kA,few_shot,few_shot,text,0.6347826086956522,0.3657817109144542,0.5608695652173913,0.43043478260869567,230,0,
6_E_T_IV,zero_shot,zero_shot,text,0.6520376175548589,0.34462030132399935,0.677115987460815,0.45768025078369906,319,0,
6_E_T_IV,few_shot,few_shot,text,0.670846394984326,0.38374965159975793,0.6300940438871473,0.42946708463949845,319,0,
